timestamp,obj_id,class_id,confidence,age_frames,velocity_px,aspect_ratio,is_real
1770809551.1183202,1,0,0.8905,0,0,1.57,1
1770809551.1189008,2,39,0.1751,0,0,0.32,0
1770809551.1189325,3,56,0.1889,0,0,0.62,0
1770809551.243586,1,0,0.9032,2,6.83,1.61,1
1770809551.243664,3,56,0.2802,2,2,0.62,1
1770809551.373834,1,0,0.9003,4,7.09,1.57,1
1770809551.3738878,3,56,0.2096,4,1.73,0.59,1
1770809551.5042849,1,0,0.9033,6,4.37,1.59,1
1770809551.504433,3,56,0.2002,6,1.26,0.61,1
1770809551.6351435,1,0,0.9009,8,3.96,1.57,1
1770809551.6351984,3,56,0.2447,8,0.39,0.63,1
1770809551.755046,1,0,0.9027,10,4.58,1.58,1
1770809551.755118,3,56,0.2079,10,1.45,0.61,1
1770809552,1,0,0.8993,12,1.25,1.6,1
1770809551.8670638,3,56,0.2725,12,0.62,0.64,1
1770809552.000574,1,0,0.9005,14,0.7,1.59,1
1770809552.000635,3,56,0.3858,14,2.03,0.59,1
1770809552.1229868,1,0,0.8977,16,3.58,1.6,1
1770809552.1230414,3,56,0.1692,16,0.89,0.61,0
1770809552.2507665,1,0,0.8906,18,3.7,1.57,1
1770809552.2508245,3,56,0.1713,18,3.03,0.61,0
1770809552.4083729,1,0,0.8941,20,4.5,1.57,1
1770809552.4084458,3,56,0.5216,20,3.87,0.57,1
1770809552.5584326,1,0,0.9079,22,6.27,1.56,1
1770809552.5585034,3,56,0.5154,22,0.95,0.58,1
1770809552.687482,1,0,0.9003,24,0.78,1.52,1
1770809552.6875408,3,56,0.5749,24,0.33,0.56,1
1770809552.8146565,1,0,0.9111,26,14.6,1.46,1
1770809552.8147123,3,56,0.5729,26,0.56,0.6,1
1770809552.9422169,1,0,0.9087,28,4.4,1.51,1
1770809552.9423516,3,56,0.529,28,3.16,0.59,1
1770809553.067947,1,0,0.9217,30,3.66,1.54,1
1770809553.0679903,3,56,0.5761,30,0.92,0.61,1
1770809553.2078085,1,0,0.9104,32,6.8,1.56,1
1770809553.2078652,3,56,0.7155,32,1.17,0.62,1
1770809553.3254223,1,0,0.9149,34,3.22,1.58,1
1770809553.325469,3,56,0.3025,34,1.65,0.62,1
1770809553.4396117,1,0,0.9118,36,6.17,1.55,1
1770809553.4396992,3,56,0.5207,36,1.29,0.59,1
1770809553.5614605,1,0,0.9172,38,0.47,1.54,1
1770809553.5615098,3,56,0.6403,38,0.38,0.59,1
1770809553.6963696,1,0,0.919,40,2.84,1.55,1
1770809553.6964178,3,56,0.6413,40,3.27,0.57,1
1770809553.836353,1,0,0.9193,42,2.65,1.54,1
1770809553.8364189,3,56,0.6272,42,2.64,0.58,1
1770809553.9628992,1,0,0.9067,44,5.34,1.5,1
1770809553.9629874,3,56,0.5562,44,1.32,0.58,1
1770809554.1017463,1,0,0.9063,46,7.23,1.53,1
1770809554.101829,3,56,0.5989,46,0.17,0.58,1
1770809554.257243,1,0,0.8965,48,6.22,1.54,1
1770809554.2573054,3,56,0.647,48,4.09,0.59,1
1770809554.3834028,1,0,0.8959,50,5.18,1.58,1
1770809554.3834689,3,56,0.5971,50,2.8,0.64,1
1770809554.5090024,1,0,0.8919,52,0.68,1.58,1
1770809554.509063,3,56,0.5951,52,3.7,0.61,1
1770809554.6314652,1,0,0.9072,54,8.34,1.52,1
1770809555,3,56,0.4907,54,3.54,0.62,1
1770809555,1,0,0.8993,56,3.2,1.52,1
1770809554.7664988,3,56,0.6054,56,1.49,0.62,1
1770809554.8991935,1,0,0.9016,58,3.84,1.51,1
1770809554.8992507,3,56,0.5372,58,1.25,0.62,1
1770809555.0194294,1,0,0.9097,60,1.57,1.51,1
